Priority,Page,Proposed URL,Primary Goal,SEO Focus,Content Required,Status
1,Homepage,/,Trust and launch traffic conversion,"bed studio newmarket, beds newmarket, mattresses newmarket","Hero, categories, showroom, NZ-made/custom, offer, FAQs, contact",Planned
1,Newmarket Showroom,/pages/newmarket-showroom,Local SEO and showroom visits,"bed showroom newmarket, mattress store newmarket","Confirmed address/phone, map, hours, parking/access, photos, suburb copy, FAQs",Address/phone confirmed; hours/map pending
1,Mattresses,/collections/mattresses,Core category sales and SEO,"mattresses newmarket, mattresses auckland, NZ made mattresses","Buying guide, feel options, size links, product grid, FAQs",Needs product rewrite
1,Bed Bases,/collections/bed-bases,Core category sales and SEO,"bed bases auckland, NZ made bed base","Base types, standard/storage/custom, delivery, warranty, FAQs",Needs product rewrite
1,Headboards,/collections/headboards,Core category sales and SEO,"headboards auckland, NZ made headboards","Styles, fabrics, customisation, sizing, lead time, FAQs",Needs product rewrite
2,Storage Beds,/collections/storage-beds,Space-saving category,"storage beds auckland, storage bed base","Apartment/small-room angle, drawer options, dimensions, FAQs",Planned
2,Electric Adjustable Beds,/collections/adjustable-beds,Premium/comfort category,"electric adjustable beds auckland","Comfort features, setup, showroom demo, FAQs",Needs careful claims
2,NZ Made Custom Beds,/pages/nz-made-custom-beds,Authority and premium trust,"NZ made beds auckland, custom beds auckland","Custom size, fabric, material, lead time, showroom advice",Planned
2,Delivery And Assembly,/pages/delivery-assembly,Objection handling,"bed delivery auckland, mattress delivery auckland","Delivery areas, fees, days, assembly, removal, FAQs",Needs confirmation
2,Warranty And Returns,/pages/warranty-returns,Trust and policy clarity,"mattress warranty nz, bed returns policy","Warranty by product type, hygiene returns, restocking fee",Needs confirmation
2,Finance Options,/pages/finance-payment,Payment conversion,"interest free beds, afterpay beds, q card beds","Gem, Afterpay, Q Card, Amex, 24 months terms",Needs confirmation
3,Mattress Buying Guide,/blogs/guides/mattress-buying-guide,SEO and AI search support,"mattress buying guide nz","Sleeper type, feel, size, budget, showroom advice",Planned
3,Mattress Sizes NZ,/blogs/guides/mattress-sizes-nz,SEO and product support,"mattress sizes nz, queen mattress size nz","Size table, room guidance, related products",Planned
3,Plush Vs Medium Vs Firm,/blogs/guides/plush-vs-medium-vs-firm,Comfort education,"plush vs firm mattress, medium mattress nz","Feel comparison, sleeper type, showroom testing",Planned
