Priority,Question,Answer Notes,Page,Status
1,Do you have a showroom in Newmarket?,"Yes. Bed Studio is at 25B Broadway, Newmarket, Auckland 1023. Call 09 972 4142. Confirm hours, map link, and parking/access notes before publishing.",Homepage/Newmarket,Address/phone confirmed; hours/map pending
1,Can I try mattresses before buying?,"Use showroom-led comfort testing message.",Homepage/Mattresses,Planned
1,Do you deliver across Auckland?,"Yes, meeting notes mention set Auckland delivery days. Confirm exact areas and fees.",Delivery,Needs confirmation
1,Do you deliver outside Auckland?,"Meeting notes mention NZ-wide delivery via freight. Confirm process and costs.",Delivery,Needs confirmation
1,Do you offer assembly?,"Electric bases may need assembly. Other bases usually need legs installed only. Confirm fees.",Delivery,Needs confirmation
1,Can you remove my old mattress or base?,"Meeting notes mention base removal and mattress/base removal fees. Confirm before publishing.",Delivery,Needs confirmation
1,Are your mattresses NZ made?,"Some products are NZ-made. Avoid saying all products are NZ-made unless confirmed.",Mattresses/Product pages,Needs product-level confirmation
1,Can I customise my bed or mattress?,"Customisation discussed for colour, size, material, style, split options.",Custom/NZ Made,Planned
1,How long does a custom product take?,"Meeting notes mention 7-10 working days for some NZ-made/custom mattresses, 2.5 weeks for storage bases, 2.5-3 weeks for some headboards.",Product pages,Needs product-level confirmation
1,What warranty is included?,"Warranty differs by product. Meeting notes mention 10 years, 5 years, and 24 months depending on product type.",Warranty,Needs confirmation
1,Can I return a mattress?,"Returns restricted for hygiene reasons. Restocking fee discussed. Requires careful final policy wording.",Warranty/Returns,Needs confirmation
1,Do you offer interest-free payment?,"Gem, Afterpay, Q Card, Amex, and 12-24 month interest-free options discussed. Confirm final terms.",Finance,Needs confirmation
2,Which mattress is best for side sleepers?,"Meeting notes suggest medium mattress for side sleepers. Word as general guidance, not medical advice.",Buying guide,Planned
2,What is the difference between plush, medium, and firm?,"Create simple comparison with showroom CTA.",Buying guide/Mattresses,Planned
2,Can couples choose different comfort levels?,"Split mattress and zipper-connected options discussed.",Product pages/Guide,Planned
2,Do you sell storage beds?,"Yes, storage beds/bases discussed as important category.",Storage Beds,Planned
2,Do you sell electric adjustable beds?,"Yes, discussed as premium/comfort category. Avoid unsupported health claims.",Adjustable Beds,Planned
