Priority,Product Or Category,Source,Positioning Angle,Known Details,Content Work Needed,Status
P0,Mattresses,21 July client workbook,Premium comfort and guided showroom advice,"Size; Feel; Sleeper Type; 22 rows typed as Mattresses plus uncategorised mattress products","Approve assortment; normalise filters; rewrite category and products",Open
P0,Beds & Bases,21 July client workbook,NZ-made/custom options where verified,"25 rows typed Bed Bases plus bed/frame products","Separate mattresses; confirm products; rewrite category and products",Open
P0,Headboards,21 July client workbook,Style/fabric/size customisation,"60 rows typed HeadBoards with many size-specific handles","Decide consolidation; verify fabric/custom claims; rewrite",Open
P0,Storage Beds,21 July client workbook,Premium space-saving choice,"Gas lift; drawer; hinged base products","Confirm delivery/assembly; build category comparison",Open
P0,Adjustable Beds,Meeting and client direction,Premium guided showroom category,"Adjustable beds requested but clear launch range is not visible in latest export","Client to confirm products/specs/warranty",Blocked
P0,NZ-Made,21 July client workbook,Local quality and customisation,"Many titles state NZ Made","Verify every origin claim; do not infer from title alone",Open
P1,SleepMatch,21 July client email,Customer-friendly guided choice,"Size; Feel; Side/Back/Front sleeper paths","Normalise values; review guidance; add disclaimer and showroom CTA",Open
P1,Core Products,Production handover workbook,Priority launch assortment,118 products classified Core by rule-based audit,"Client approval; unique copy; metadata; imagery; warranty/lead time QA",Open
P1,Support Products,Production handover workbook,Add-ons after core range,14 products classified Support by rule-based audit,"Review commercial relevance and cross-sell placement",Open
P1,Review Products,Production handover workbook,Manual decision required,5 products classified Review by rule-based audit,"Resolve missing type/title/duplicate issues",Open
P1,Exclude Or Archive Candidates,Production handover workbook,Protect premium positioning,6 sofa/bunk/off-position candidates,"Client review; do not permanently delete without approval",Open
