Priority,Page,Proposed URL,Primary Goal,SEO Focus,Content Required,Phase,Status
P0,Homepage,/,Premium brand and conversion,"premium beds Auckland; premium mattresses Auckland","Newmarket hero; categories; SleepMatch; NZ-made proof; products; showroom",Launch,Build in unpublished Prestige
P0,Newmarket Showroom,/pages/newmarket-showroom,Local visibility and showroom visits,"bed shop Newmarket; mattress store Newmarket","NAP; map; hours; parking; photos; showroom experience",Launch,Hours/map/parking pending
P0,Mattresses,/collections/mattresses,Core category sales and SEO,mattresses Auckland,"Feel; Sleeper Type; Size; product grid; FAQs",Launch,Required
P0,Beds & Bases,/collections/beds-and-bases,Core category sales and SEO,"beds Auckland; bed bases Auckland","Base types; fabrics; storage; sizing; products",Launch,Required
P0,Headboards,/collections/headboards,Core category sales and SEO,headboards Auckland,"Styles; sizes; fabrics; customisation; products",Launch,Required
P0,Storage Beds,/collections/storage-beds,Space-saving commercial category,storage beds Auckland,"Gas lift; drawers; room planning; delivery; products",Launch,Required
P0,Adjustable Beds,/collections/adjustable-beds,Premium comfort category,adjustable beds Auckland,"Approved range; compatibility; controls; warranty; showroom trial",Launch,Product range pending
P0,NZ-Made Beds & Mattresses,/collections/nz-made-beds-and-mattresses,Trust and commercial category,"NZ made beds; NZ made mattresses Auckland","Verified products and origin proof only",Launch,Required
P0,SleepMatch,/pages/sleepmatch,Guided shopping,"mattress finder; mattress by feel and sleeper","Size; Feel; Sleeper Type selector; disclaimer; showroom CTA",Launch,Planned
P0,Contact,/pages/contact,Lead and direction conversion,Bed Studio Newmarket contact,"NAP; hours; map; enquiry form",Launch,Existing page requires QA
P1,About Bed Studio,/pages/about-bed-studio,Brand trust,Bed Studio Newmarket,"Story; people; premium positioning; NZ-made/custom proof",Wave 2,Team proof pending
P1,Delivery & Assembly,/pages/delivery-and-assembly,Buying confidence,bed delivery Auckland,"Areas; fees; access; setup; removal",Wave 2,Client wording pending
P1,Warranty & Returns,/pages/warranty-and-returns,Buying confidence,mattress warranty NZ,"Product-specific warranty and returns",Wave 2,Client wording pending
P1,Finance & Payment,/pages/finance-and-payment-options,Buying confidence,bed finance Auckland,"Approved providers; terms; eligibility",Wave 2,Client wording pending
P1,FAQs,/pages/faqs,Reduce buying friction,Bed Studio FAQs,"Showroom; products; custom; delivery; warranty",Wave 2,Confirmed answers only
P2,Plush vs Medium vs Firm,/blogs/sleep-guides/plush-vs-medium-vs-firm-mattress,Guide and internal linking,plush vs medium vs firm mattress,"Comparison; trade-offs; showroom testing",Wave 4,Planned
P2,Side Sleeper Guide,/blogs/sleep-guides/best-mattress-for-side-sleepers-nz,Guide and commercial support,best mattress for side sleepers NZ,"Evidence-led guidance; SleepMatch; products",Wave 4,Planned
P2,Back Sleeper Guide,/blogs/sleep-guides/best-mattress-for-back-sleepers-nz,Guide and commercial support,best mattress for back sleepers NZ,"Evidence-led guidance; SleepMatch; products",Wave 4,Planned
P2,Front Sleeper Guide,/blogs/sleep-guides/best-mattress-for-front-sleepers-nz,Guide and commercial support,best mattress for stomach sleepers NZ,"Evidence-led guidance; SleepMatch; products",Wave 4,Planned
